track_id,track_name,artist_name,album_name,release_date,genre,duration_ms,popularity,danceability,energy,key,loudness,mode,instrumentalness,tempo,stream_count,country,explicit,label,release_year,release_month,release_day_of_week,duration_minutes,popularity_category,loudness_category,key_name,mode_name,is_explicit_bool,release_quarter,is_weekend_release,log_stream_count,upbeat_score,artist_track_count
346d85e2-ffde-41b3-854a-589ed880b91f,Storm,Ethereal,The Hollow Journeys,10/6/2021,Pop,169594,47,0.6777,0.7949,9,-2.9,1,0.0065,111.89,46592,US,FALSE,Self-Released,2021,10,Wednesday,2.83,Medium,Loud,A,Major,FALSE,Q4,FALSE,10.7492,0.6632,3232
12bc268a-363b-4f19-8fa8-0ced7ae1e462,Silent,The Wolfs,Ancient Thunder,10/26/2024,K-Pop,256755,26,0.9405,0.7163,1,-7.72,1,0.0198,129.17,5374,ES,FALSE,Prism Audio,2024,10,Saturday,4.28,Medium,Moderate,C#,Major,FALSE,Q4,TRUE,8.5895,0.7615,20
30d627d9-878d-4bb3-be59-71feb6ed4f3f,Shattered Lines,LolaOre,Twisted Harbors,11/12/2022,Punk,170212,46,0.6853,0.95,4,-2.38,1,0.0103,150.06,218262,US,FALSE,Columbia Records,2022,11,Saturday,2.84,Medium,Loud,E,Major,FALSE,Q4,TRUE,12.2935,0.7828,199
85501bb9-d221-4339-9e2e-29b1b3daff0a,Breaking Roses,Clay Black,The Blinding Letters,6/22/2020,Pop,181250,4,0.7817,0.6943,6,-8,1,0.0151,121.16,5248,ZA,FALSE,Midnight Records,2020,6,Monday,3.02,Low,Moderate,F#,Major,FALSE,Q2,FALSE,8.5658,0.6778,693
7bf92bd2-c6fe-4869-a90e-242bb8bbe7a3,Lines,Knot Hart,The Cosmic Letters,1/22/2024,Latin,160894,27,0.72,0.4958,1,-6.38,1,0.0372,104.16,27420,US,FALSE,Catalyst Records,2024,1,Monday,2.68,Medium,Moderate,C#,Major,FALSE,Q1,FALSE,10.2191,0.5494,12111
e4a536ca-c6d4-4bad-97b5-d5e7b85c49e2,Wild Doors,Knot Hart,Jagged Gardens,4/12/2021,R&B,198179,28,0.6538,0.3732,8,-11.55,1,0.0144,93.46,18568,NG,FALSE,Neon Label,2021,4,Monday,3.3,Medium,Moderate,G#,Major,FALSE,Q2,FALSE,9.8292,0.4586,12111
305b4f13-b2ac-47e9-a6f2-d0c15934f8b6,Skies,Knot Hart,The Ancient Tapes,7/16/2025,R&B,251330,18,0.7399,0.4,7,-9.93,0,0.0025,124.11,14871,CO,FALSE,Nova Records,2025,7,Wednesday,4.19,Low,Moderate,G,Minor,FALSE,Q3,FALSE,9.6072,0.5475,12111
83c3a6be-6066-449a-a339-19afcde7cfb3,Wild,Blaze Project,Crystal,12/12/2023,Classical,208198,15,0.173,0.3085,8,-10.61,1,0.2782,98.93,1068,IN,TRUE,Spectrum Music,2023,12,Tuesday,3.47,Low,Moderate,G#,Major,TRUE,Q4,FALSE,6.9745,0.2482,53
437961fc-9ccd-4c86-8eb7-e96b6d2dc5c8,Neon Oceans,Clay Black,Broken V,6/17/2020,Pop,254751,23,0.6838,0.5026,7,-10.42,0,0.0163,95.24,4146,AU,TRUE,Wavelength Records,2020,6,Wednesday,4.25,Low,Moderate,G,Minor,TRUE,Q2,FALSE,8.3301,0.5249,693
53df0c89-adc4-48b7-94e3-111e348cb17b,Eternal Angels,Phantasm,The Kind Notes,6/9/2020,Trap,310076,39,0.5759,0.8349,3,-7.81,0,0.0133,119.15,183936,PT,FALSE,Drift Music,2020,6,Tuesday,5.17,Medium,Moderate,D#,Minor,FALSE,Q2,FALSE,12.1223,0.6488,242
